Code,Name,Price,Vol
III,3i Grp PLC,1164,2.4
ABF,AB Food,913,0.95
AL.,Alliance & Leicester,1127,1.9
AB.,Alliance Boots,1135,0.1
AAL,Anglo American PLC,3037,7
ANTO,Antofagasta,618.5,1.1
AZN,AstraZeneca,2567,4
AV.,Aviva,759,1.4
BA.,BAE Systems,438.75,1.25
BARC,Barclays,719.5,1.4
BDEV,Barratt Developments,1005,2.4
BG.,BG Group,799,1.4
BLT,BHP Billiton,1375,3.3
BP.,BP PLC,583.5,1.25
BAY,British Airways,428.75,0.68
BATS,British American Tobacco,1630,2
BLND,British Land,1327,2.4
BSY,British Sky Broadcasting,630.5,0.7
BT.A,BT Group,317,0.43
CW.,Cable & Wireless,193.5,0.12
CBRY,Cadbury Schweppes,681.5,1.45
CPI,Capita Group,728.5,0.95
CCL,Carnival PLC,2442,7.5
CNA,Centrica,385.5,1.08
CPG,Compass Group,359.25,0.25
DMGT,Daily Mail & General Trust A,781.5,1.9
DGE,Diageo,1052,1.5
DRX,Drax Group PLC,729.5,1.8
DSGI,DSG International,163.7,0.19
ETI,Enterprise Inns PLC,674,2.6
EXPN,Experian,590.5,1.05
FP.,Friends Provident,184.1,0.59
GSK,GlaxoSmithKline,1298,1.4
HMSO,Hammerson,1472,4.1
HNS,Hanson PLC,1074,0.4
HBOS,HBOS,998,1.15
HOME,Home Retail,451,2.35
HSBA,HSBC Holdings PLC (UK Reg),926,0.95
IAP,Icap PLC,495.5,0.58
ICI,Imperial Chemical Industries,624.5,1.15
IMT,Imperial Tobacco Group,2208,2.8
IHG,Interco Int Hot Gro Plc Ord 13,1292,2.2
IPR,International Power,426.25,0.5
IVZ,Invesco Plc Inves Plc Usd0.10,649,2.1
ITV,ITV,110.7,0.16
JMAT,Johnson Matthey,1686,3.1
KAZ,Kazakhmys PLC,1282,2.9
KEL,Kelda Group P K G P O 20 2/9 P,931,1.15
KGF,Kingfisher PLC,229.5,0.58
LAND,Land Securities Group,1703,4.5
LGEN,Legal & General Group,153.9,0.32
LII,Liberty International,1151,1.7
LLOY,Lloyds-TSB Group,568.5,0.95
LMI,Lonmin PLC,4112,12.4
EMG,Man Group,625.5,1
MKS,Marks & Spencer,642.5,1.4
MAB,Mitchell & B M & B P O 8 13/24,868,2.1
MRW,Morrison (WM.) Supermarkets,292,0.58
NG.,National Grid,719.5,1.1
NXT,Next,2056,5.6
NRK,Northern Rock,951,2.6
OML,Old Mutual,174,0.29
PSON,Pearson,836,2.15
PSN,Persimmon,1203,2.4
PRU,Prudential,728.5,1.9
PUB,Punch Taverns,1277,2.5
RB.,Reckitt Benckiser,2726,3.1
REL,Reed Elsevier,635,1.15
RSL,Resolution,636,1.85
RTR,Reuters Group,618,1.1
REX,Rexam,496,0.55
RIO,Rio Tinto,3788,10.3
RR.,Rolls-Royce,546,1.1
RSA,Royal & Sun Alliance Ins Group,147,0.36
RBS,Royal Bank of Scotland,635,1.15
RDSA,Royal Dutch Shell A Shares,1982,1.7
RDSB,Royal Dutch Shell B Shares,2032,2.3
SAB,SAB Miller,1261,2.4
SGE,Sage Group,236.75,0.58
SBRY,Sainsbury (J) PLC,572.5,0.75
SDRC,Schroders PLC Non-VTG Shs,1171,2.8
SDR,Schroders PLC VTG Shs,1330,2.4
SCTN,Scottish & Newcastle,636,1.55
SSE,Scottish & Southern Energy,1441,2.1
SGRO,Segro PLC,646,2.4
SVT,Severn Trent 97,1452,2.1
SHP,Shire,1188,2.2
SN.,Smith & Nephew,609,1.05
SMIN,Smiths Gr Pl Sm Gr Pl Or 37.5p,1149,1.8
STAN,Standard Chartered,1646,3.6
SL.,Standard Life PLC,342.5,0.55
TATE,Tate & Lyle,559.5,0.9
TSCO,Tesco,430.75,1.2
ULVR,Unilever 3 1/9p,1564,3.2
UU.,United Utilities PLC,760,0.75
VED,Vedanta Resources,1606,3.1
VOD,Vodafone Grp,156,0.19
WTB,Whitbread PLC,1738,2.9
WOS,Wolseley,1244,3
WPP,Wpp Group PLC,728,0.9
XTA,Xstrata,3022,7.7
YELL,Yell Group PLC,478,0.68
