Code,Name,Price,Vol
ABG,Abbot Group,275.75,0.35
ADN,Aberdeen Asset Management,193.5,0.43
ASL,Aberforth Smaller Companies,767.5,0.25
ADM,Admiral Group,916,1.85
AGS,Aegis Group,134,0.28
AGA,AGA Foodservice Group PLC,377.5,0.78
AGK,Aggreko,570,1.5
ATST,Alliance Trust,366.5,0.68
AMEC,AMEC,566.5,0.75
AML,Amlin,284.25,0.55
AQP,Aquarius Platinum,1628,3.9
ARM,Arm Holdings,143.75,0.53
ARI,Arriva,653,1
ASHM,Ashmore,278,1.18
AHT,Ashtead Group,156.75,0.3
AGR,Assura Group,195.25,1.18
ATK,Atkins (WS),1120,3.3
AU.,Autonomy,688.5,7.95
AVV,Aveva Group PLC,923,2.3
AVE,Avis Europe,51.75,0.08
BAB,Babcock International Group,560,0.6
BBY,Balfour Beatty,447,0.78
BNKR,Bankers Investment Trust,417,0.63
BBA,BBA Aviation  29 16/21p,271,0.45
BEZ,Beazley Group,145.25,1.03
BWY,Bellway,1291,4.8
BFD,Benfield Group Com Shs,304.75,0.83
BKG,Berkley Group Holding Units,1780,4.5
BIFF,Biffa PLC,285,0.5
BYG,Big Yellow Group,526,1.95
BBAY,Bluebay WI,505,2.5
BOY,Bodycote International PLC,275,0.5
BVS,Bovis Homes Group,916.5,2.75
BB.,Bradford & Bingley,414.25,0.6
BRE,Brit Insurance Holdings,341.75,0.4
BSET,British Assets Trust PLC,146,0.3
BTEM,British Empire Securities Tst,467.25,0.38
BGY,British Energy Group,546.5,0.6
BVIC,Britvic,392,1.03
BXTN,Brixton Estate,438,1.3
BWNG,Brown (N) Group PLC,308.25,1.1
BTSM,BSS Group,497,0.6
BNZL,Bunzl,695,0.6
BRBY,Burberry Group,694.5,0.8
BUR,Burren Energy,822.5,2.25
CNE,Cairn Energy PLC,1708,3.7
CLDN,Caledonia Investments PLC,2068,1.5
CDI,Candover Investments PLC,2040,4.8
CAL,Capital & Regional PLC,1180,4
CLLN,Carillion PLC,407.75,0.53
CPR,Carpetright,1216,5.6
CPW,Carphone Warehouse,330,0.8
CGL,Catlin Group LD Coms,470.75,0.73
CTT,Cattles,400.25,0.6
CHTR,Charter PLC (Regd),1000,3.1
CHG,Chemring Group,1996,2.8
CTY,City of London,304,0.23
CBG,Close Brothers Group,888,1.95
CLI,CLS Holdings,600,1.5
COB,Cobham,210.25,0.25
CLST,Collins Stewart Wi,224.5,0.5
COLT,Colt Telecom Group SA,148.25,0.18
CKSN,Cookson Group,714,1.1
CRDA,Croda International,650,1.6
CSR,CSR,778.5,2
DJAN,Daejan Holding,4109,19
DCG,Dairy Crest Group,701,1.2
DNX,Dana Petroleum,1131,4.7
DVSG,Davis Service Group PLC,634,1.3
DLAR,De La Rue,778,3.3
DEB,Debenhams,136.5,0.28
DLN,Derwent London,1816,3.3
DCA,Detica Group,377.75,1.13
DAB,Dexion Absolute,153.5,0.08
DDT,Dimension Data,54.75,0.33
DGG,Domestic & General,1220,1.5
DIG,Dunedin Income  Growth,269.25,0.68
EZJ,Easyjet PLC,525.5,1.45
EDIN,Edinburgh Investment Trust,490,0.4
EUS,Edinburgh US Tracker,601,0.45
ELTA,Electra Investment Trust,1700,3.5
ECM,Electrocomponents,279.75,0.25
EMA,EMAP,842.5,4
EMI,EMI Group,270.75,0.33
ENO,Enodis,201,0.35
ERM,Euromoney Institutional Inv.,615,1.35
EXR,Expro International Group,985.5,1.15
FCAM,F&C Asset Man,184.25,0.5
FCPT,F&C Commercial,124,0.3
FRCL,F&C Investment Trust,307.5,0.5
FEV,Fidelity European Values,1355,1
FLTR,Filtrona,272.5,0.38
FDL,Findel,693,1.15
FCD,First Choice Holidays,314.5,0.73
FGP,FirstGroup,645,2.35
FKI,FKI,126.75,0.33
FPT,Forth Ports,1762,4.4
GFRM,Galiform,140,0.55
GFRD,Galliford Try PLC,158,0.28
GMG,Game Group,169.5,0.45
GKN,GKN,403.5,0.53
GOG,Go-Ahead Group PLC,2414,3.7
GRI,Grainger Tst,570,1
GPOR,Great Portland,655,1.55
GNK,Greene King PLC,1003,3
GRG,Greggs,5006,9.9
GFS,Group 4 Sec,211.25,0.3
GYG,Gyrus Group,469,0.28
HFD,Halfords,387.75,0.55
HLMA,Halma,241.25,0.8
HAS,Hays,170,0.3
HEAD,Headlam Group,560,0.5
HHR,Helphire Group,396.75,0.53
HGI,Henderson Grp,162,0.45
HIK,Hikma Pharmaceuticals PLC,368,0.75
HSX,Hiscox,286.5,0.8
HMV,HMV Group,119.25,0.43
HOC,Hochschild,321.75,1.5
HSV,Homeserve PLC,1840,2.8
HTG,Hunting,772,1.4
IGG,IG Group,299.75,0.6
IMI,IMI Group,599,0.9
INCH,Inchcape,512,1.2
INF,Informa PLC,557.5,0.65
ISAT,Inmarsat PLC,412.75,0.5
IFD,Insight Fnd Tst,121.75,0.35
ICP,Intermediate Capital Group,1597,4.1
IRV,Interserve,460,1.13
ITRK,Intertek Group,976.5,2.85
ISYS,Invensys,393,1.78
INVP,Investec PLC,652,2.4
ITE,ITE Group,172,0.5
JLT,Jardine Lloyd,424,1.25
JJB,JJB Sports,252,0.5
JKX,JKX Oil & Gas,333.75,0.45
JPR,Johnston Press,410.75,1.28
JFJ,JP Morgan Fleming Jap IT,227,0.25
JFM,JP Morgan Fleming Mercantile,1295,0.7
JETG,JPMorgan Growth,246.5,0.2
KLR,Keller Group,1025,5.6
KESA,Kesa Electricals,317.25,1
KIE,Kier Group,2059,3.8
LAD,Ladbrokes,433.75,0.9
LARD,Lair Gr Pl La Gr Pl Or 28.125p,560.5,1.3
LOG,Logica CMG,153.75,0.2
LSE,Lon Stk Exch Grp PLC Shs,1355,4.2
LMR,Luminar,705,1.3
MAY,Mapeley Ld NPV,2910,16.4
MSLH,Marshalls PLC,352.25,0.38
MARS,Marston's,415,1.4
MCA,McAlpine (A),440.5,1.18
MGGT,Meggitt,314.75,0.5
MRO,Melrose PLC,164.5,0.4
MRCH,Merchants Trust,523,0.7
MLW,Merrill Lynch World Mining Tst,586,0.85
MPI,Michael Page International,534.5,1.35
MCRO,Micro Focus Wi,250,1.5
MLC,Millennium & Copthorne Hotels,655.5,1.6
MNR,Minerva,357,1.5
